Project Name,Project ID,Year,Files
Burnaby Fire and RCMP Concept Design and Space Needs Analysis,,2021,Addendum No 1.pdf Addendum no 2 - CMP Detachment Concept Design & FH No.1 Space Needs Analysis.pdf Addendum No. 3.pdf Addendum No. 4.pdf Burnaby RCMP Concept Design + Fire Hall No. 1 Space Needs Analysis.pdf
CNC - Library Services Review,,2021,Addendum 1 for RFP 20-002 (003).pdf Addendum 2 for RFP 20-002.pdf CPG Response.pdf RFP 20-002 for Library Services Plan Review.pdf
College of New Caledonia Campus Space Study,,2021,Addendum 2.RFP 21-012.QA Response (2).pdf Addendum 3.RFP 21-012.QA Response (1).pdf CNC - Cornerstone Planning Group Response - 2021-11-23.pdf PG CNC Addendum 1.RFP 21-012.QA Response.pdf RFP 21-012 Appendix A.Sample GSA w Privacy Schedule.pdf RFP 21-012 Appendix B.Submission Form.pdf RFP 21-012 Space Planning (Contract A).pdf
Comox Valley School Board Office Feasibility Study,,2021,APPENDIX A and B - SD71 RFP-2021-001-010 SCHOOL BOARD OFFICE RENEWAL_SD71.pdf SD71 RFP # 2021-001-010 - Cornerstone Planning Group Submission.pdf SD71 RFP-2021-001-010 SCHOOL BOARD OFFICE RENEWAL_SD71.pdf
Coquitlam AC&H Workshop,,2021,Coquitlam Cultural Services Collaboration Framework - Submission - 2021-09-24.pdf Terms_of_Reference_-City of Coquitlam_Cultural_Services_Collaboration_Framework.pdf
Coquitlam Library Planning,,2021,21-063 - Addendum No. 1.pdf 21-063 - Instructions to Proponents.pdf 21-063 RFP - Services and Space Study - Coquitlam Public Library_1.pdf 21-37 Coquitlam Library Study FINAL SM.pdf
"Cumberland Recreation, Arts and Culture Master Plan",,2021,"Addendum-1-RFP-Recreation-Arts-Culture-Master-Plan.pdf Cumberland Rec, Arts and Culture Master Plan - Response Info v.2.pdf Cumberland Rec, Arts and Culture Master Plan - Response Info.pdf RFP.-Rec-Arts-and-Culture-MP-002.pdf"
eatART Business Plan + Feasibility Study,,2021,"EatART Preliminary Proposal.pdf Master - Theatre, Arts + Culture Experience.pdf Proposal Letter.docx"
Ethiopia House Program Brief,,2021,2021-09-24 - Ethiopia House - Fee Proposal.pdf
Grande Prairie Space Needs,,2021,"Final Grand Prairie Cornerstone Submission.pdf RFQ - Grande Prairie Space Needs Initial Design Concept.pdf RFQ - References, Pricing and Bidder Info Tables - FILLED.pdf"
Guelph Fire and Ambulance Facility Needs Assessment,,2021,Guelph F+A Fee Schedule.pdf Guelph F+A FNA Technical Proposal.pdf public safety_EXPERIENCE promo.pdf 21-123 - Addendum 1.pdf 21-123 - Addendum 2 (1).pdf 21-123 Addendum 1 Drawings.pdf.pdf 21-123 Consulting Services Agreement.pdf 21-123 RFP Facility Needs Assessment  GFD and GWPS.pdf 21-123 Terms of Reference.pdf Appendix A – Background Materials.pdf
